TableName,ColumnName,DataType,IsMetricOrDimension,ColumnDescription
agentservices_tasky_reviewer_offline_events,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,AppVSN,String,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,EID,UUID,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,Universe,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,OUID,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,TaskID,UUID,Dimension,EMPTY
agentservices_tasky_task_states_v2,ProfileID,UUID,Dimension,EMPTY
agentservices_tasky_task_states_v2,AgentID,Nullable(UUID),Dimension,EMPTY
agentservices_tasky_task_states_v2,State,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,PrevState,Nullable(String),Dimension,EMPTY
agentservices_tasky_task_states_v2,Reason,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,TaskType,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,Mode,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_task_states_v2,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_task_states_v2,AppVSN,String,Dimension,EMPTY
agentservices_tasky_task_states_v2,EID,UUID,Dimension,EMPTY
agentservices_tasky_task_states_v2,Universe,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,OUID,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,TaskID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_completed,ProfileID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_completed,AgentOUID,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,AgentID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_completed,Action,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,TaskType,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,Mode,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_completed,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_completed,AppVSN,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,EID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_completed,Universe,String,Dimension,EMPTY
agentservices_tasky_tasks_completed,AllocationID,Nullable(String),Dimension,EMPTY
agentservices_tasky_tasks_created,OUID,String,Dimension,EMPTY
agentservices_tasky_tasks_created,TaskID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_created,ProfileID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_created,TaskType,String,Dimension,EMPTY
agentservices_tasky_tasks_created,TaskAttributes,Nullable(String),Dimension,EMPTY
agentservices_tasky_tasks_created,Mode,String,Dimension,EMPTY
agentservices_tasky_tasks_created,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_created,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_created,AppVSN,String,Dimension,EMPTY
agentservices_tasky_tasks_created,EID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_created,Universe,String,Dimension,EMPTY
agentservices_tasky_tasks_events,OUID,String,Dimension,EMPTY
agentservices_tasky_tasks_events,TaskID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_events,ProfileID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_events,TaskType,String,Dimension,EMPTY
agentservices_tasky_tasks_events,EventName,String,Dimension,EMPTY
agentservices_tasky_tasks_events,Mode,String,Dimension,EMPTY
agentservices_tasky_tasks_events,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_events,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_tasks_events,AppVSN,String,Dimension,EMPTY
agentservices_tasky_tasks_events,EID,UUID,Dimension,EMPTY
agentservices_tasky_tasks_events,Universe,String,Dimension,EMPTY
agentservices_tasky_tasks_events,AllocationID,Nullable(String),Dimension,EMPTY
agentservices_tasky_tasks_events,AgentID,Nullable(UUID),Dimension,EMPTY
av_agent_active_status,IsOnline,Int32,Metric,EMPTY
av_agent_active_status,IsOffline,Int32,Metric,EMPTY
av_agent_active_status,OUID,String,Dimension,EMPTY
av_agent_active_status,AccountID,UUID,Dimension,EMPTY
av_agent_active_status,Universe,Nullable(String),Dimension,EMPTY
av_agent_active_status,Email,String,Dimension,EMPTY
av_agent_active_status,Location,Nullable(String),Dimension,EMPTY
av_agent_active_status,Skills,Array(String),Dimension,EMPTY
av_agent_active_status,Timestamp,DateTime64(3),Dimension,EMPTY
av_agent_active_status,InsertedAt,DateTime64(3),Dimension,EMPTY
av_agent_offline_reasons,TAT,Int64,Metric,EMPTY
av_agent_offline_reasons,Timestamp,DateTime64(3),Dimension,EMPTY
av_agent_offline_reasons,OUID,String,Dimension,EMPTY
av_agent_offline_reasons,AccountID,UUID,Dimension,EMPTY
av_agent_offline_reasons,Universe,String,Dimension,EMPTY
av_agent_offline_reasons,Reason,String,Dimension,EMPTY
av_agent_offline_reasons,BackOnlineAt,Nullable(DateTime64(3)),Dimension,EMPTY
av_agent_offline_reasons,Email,String,Dimension,EMPTY
av_agent_offline_reasons,Location,Nullable(String),Dimension,EMPTY
av_agent_offline_reasons,InsertedAt,DateTime64(3),Dimension,EMPTY
av_allocation_events,Assigned,Int8,Metric,EMPTY
av_allocation_events,Universe,Nullable(String),Dimension,EMPTY
av_allocation_events,OUID,String,Dimension,EMPTY
av_allocation_events,EID,Nullable(UUID),Dimension,EMPTY
av_allocation_events,AVSessionID,UUID,Dimension,EMPTY
av_allocation_events,QueueName,String,Dimension,EMPTY
av_allocation_events,CaptureSessionID,String,Dimension,EMPTY
av_allocation_events,TaskID,UUID,Dimension,EMPTY
av_allocation_events,AuthSessionID,UUID,Dimension,EMPTY
av_allocation_events,OperatorSessionID,UUID,Dimension,EMPTY
av_allocation_events,AccountID,UUID,Dimension,EMPTY
av_allocation_events,AllocationID,UUID,Dimension,EMPTY
av_allocation_events,Timestamp,DateTime64(3),Dimension,EMPTY
av_allocation_events,EventName,String,Dimension,EMPTY
av_allocation_events,InsertedAt,DateTime,Dimension,EMPTY
av_call_allocation_events,OUID,String,Dimension,EMPTY
av_call_allocation_events,Timestamp,DateTime64(3),Dimension,EMPTY
av_call_allocation_events,InsertedAt,DateTime64(3),Dimension,EMPTY
av_call_allocation_events,Universe,String,Dimension,EMPTY
av_call_allocation_events,AppVSN,String,Dimension,EMPTY
av_call_allocation_events,EID,UUID,Dimension,EMPTY
av_call_allocation_events,TaskID,UUID,Dimension,EMPTY
av_call_allocation_events,AVSessionID,UUID,Dimension,EMPTY
av_call_allocation_events,OperatorID,UUID,Dimension,EMPTY
av_call_allocation_events,Reason,String,Dimension,EMPTY
av_call_details,UserWasInCall,Nullable(UInt8),Metric,EMPTY
av_call_details,OUID,String,Dimension,EMPTY
av_call_details,TaskID,UUID,Dimension,EMPTY
av_call_details,AVSessionID,UUID,Dimension,EMPTY
av_call_details,EventName,String,Dimension,EMPTY
av_call_details,AccountID,Nullable(UUID),Dimension,EMPTY
av_call_details,AllocationID,Nullable(UUID),Dimension,EMPTY
av_call_details,OperatorSessionID,Nullable(UUID),Dimension,EMPTY
av_call_details,QueueName,Nullable(String),Dimension,EMPTY
av_call_details,FinalSessionState,Nullable(String),Dimension,EMPTY
av_call_details,FinalSessionStateReason,Nullable(String),Dimension,EMPTY
av_call_details,Timestamp,DateTime64(3),Dimension,EMPTY
av_call_details,AppVSN,String,Dimension,EMPTY
av_call_details,Universe,String,Dimension,EMPTY
av_call_details,EID,UUID,Dimension,EMPTY
av_call_details,InsertedAt,DateTime64(3),Dimension,EMPTY
av_call_events,Assigned,Int8,Metric,EMPTY
av_call_events,Universe,Nullable(String),Dimension,EMPTY
av_call_events,OUID,String,Dimension,EMPTY
av_call_events,EID,UUID,Dimension,EMPTY
av_call_events,AVSessionID,UUID,Dimension,EMPTY
av_call_events,QueueName,String,Dimension,EMPTY
av_call_events,CaptureSessionID,String,Dimension,EMPTY
av_call_events,TaskID,UUID,Dimension,EMPTY
av_call_events,Timestamp,DateTime64(3),Dimension,EMPTY
av_call_events,EventName,String,Dimension,EMPTY
av_call_events,Details,String,Dimension,EMPTY
av_call_events,InsertedAt,DateTime,Dimension,EMPTY
av_call_events_view,Assigned,Int8,Metric,EMPTY
av_call_events_view,Universe,Nullable(String),Dimension,EMPTY
av_call_events_view,OUID,String,Dimension,EMPTY
av_call_events_view,EID,Nullable(UUID),Dimension,EMPTY
av_call_events_view,AVSessionID,UUID,Dimension,EMPTY
av_call_events_view,QueueName,String,Dimension,EMPTY
av_call_events_view,CaptureSessionID,String,Dimension,EMPTY
av_call_events_view,TaskID,UUID,Dimension,EMPTY
av_call_events_view,Timestamp,DateTime64(3),Dimension,EMPTY
av_call_events_view,EventName,String,Dimension,EMPTY
av_call_events_view,Details,String,Dimension,EMPTY
av_call_events_view,InsertedAt,DateTime,Dimension,EMPTY
av_completed_profiles,OverallTAT,Int64,Metric,EMPTY
av_completed_profiles,CallDuration,Int64,Metric,EMPTY
av_completed_profiles,WaitTimeInQueue,Int64,Metric,EMPTY
av_completed_profiles,FirstAttemptToCompletionTAT,Int64,Metric,EMPTY
av_completed_profiles,DaysToInvokeFirstCapture,Int64,Metric,EMPTY
av_completed_profiles,ReviewerTAT,Nullable(Int64),Metric,EMPTY
av_completed_profiles,TotalEngagementTimePreVideo,Nullable(Int64),Metric,EMPTY
av_completed_profiles,CaptureJourneyTAT,Nullable(Int64),Metric,EMPTY
av_completed_profiles,CaptureInvokedToReviewRequiredTAT,Nullable(Int64),Metric,EMPTY
av_completed_profiles,VCTime,Nullable(Int64),Metric,EMPTY
av_completed_profiles,TotalProfileLevelCaptures,Int64,Metric,EMPTY
av_completed_profiles,TotalCaptureAttempts,Int64,Metric,EMPTY
av_completed_profiles,TotalVideoCallAttempts,Int64,Metric,EMPTY
av_completed_profiles,StraightPassThrough,Int8,Metric,EMPTY
av_completed_profiles,TechnicalReasonUTVs,Int64,Metric,EMPTY
av_completed_profiles,BusinessReasonUTVs,Int64,Metric,EMPTY
av_completed_profiles,ProfileID,UUID,Dimension,EMPTY
av_completed_profiles,TaskID,UUID,Dimension,EMPTY
av_completed_profiles,AVSessionID,UUID,Dimension,EMPTY
av_completed_profiles,CustomerParticipantID,UUID,Dimension,EMPTY
av_completed_profiles,OperatorParticipantID,UUID,Dimension,EMPTY
av_completed_profiles,CaptureSessionID,Nullable(String),Dimension,EMPTY
av_completed_profiles,OperatorAccountID,UUID,Dimension,EMPTY
av_completed_profiles,MSCRoomID,UUID,Dimension,EMPTY
av_completed_profiles,PackageID,Nullable(UUID),Dimension,EMPTY
av_completed_profiles,CaptureID,Nullable(UUID),Dimension,EMPTY
av_completed_profiles,ReviewerAccountID,Nullable(UUID),Dimension,EMPTY
av_completed_profiles,OUID,String,Dimension,EMPTY
av_completed_profiles,CreatedAt,DateTime64(3),Dimension,EMPTY
av_completed_profiles,ReviewRequiredTimestamp,Nullable(DateTime64(3)),Dimension,EMPTY
av_completed_profiles,FinalOperatorActionAt,DateTime64(3),Dimension,EMPTY
av_completed_profiles,ReviewedAt,Nullable(DateTime64(3)),Dimension,EMPTY
av_completed_profiles,FirstCaptureInvokedAt,DateTime64(3),Dimension,EMPTY
av_completed_profiles,Timestamp,DateTime64(3),Dimension,EMPTY
av_completed_profiles,InsertedAt,DateTime64(3),Dimension,EMPTY
av_completed_profiles,Universe,Nullable(String),Dimension,EMPTY
av_completed_profiles,OperatorEmail,String,Dimension,EMPTY
av_completed_profiles,MSCInstanceGroup,String,Dimension,EMPTY
av_completed_profiles,OperatorAction,String,Dimension,EMPTY
av_completed_profiles,OperatorReason,Nullable(String),Dimension,EMPTY
av_completed_profiles,ReviewerAction,Nullable(String),Dimension,EMPTY
av_completed_profiles,ReviewerReason,Nullable(String),Dimension,EMPTY
av_completed_profiles,ReviewerEmailID,Nullable(String),Dimension,EMPTY
av_completed_profiles,ProfileTag,Nullable(String),Dimension,EMPTY
av_completed_profiles,OperatorActionLabel,Nullable(String),Dimension,EMPTY
av_completed_profiles,ExtReferenceID,Nullable(String),Dimension,EMPTY
av_completed_profiles,QueueLabel,Nullable(String),Dimension,EMPTY
av_completed_profiles,State,Nullable(String),Dimension,EMPTY
av_completed_profiles,Country,Nullable(String),Dimension,EMPTY
av_completed_profiles,CountryCode,Nullable(String),Dimension,EMPTY
av_completed_profiles,Latitude,Nullable(String),Dimension,EMPTY
av_completed_profiles,Longitude,Nullable(String),Dimension,EMPTY
av_completed_task_reasons_mv,HourInIST,UInt8,Metric,EMPTY
av_completed_task_reasons_mv,AvgHandlingTime,"AggregateFunction(avg, Int32)",Metric,EMPTY
av_completed_task_reasons_mv,AvgWaitTime,"AggregateFunction(avg, Nullable(Int64))",Metric,EMPTY
av_completed_task_reasons_mv,OUID,String,Dimension,EMPTY
av_completed_task_reasons_mv,Action,"Enum8('verified' = 1, 'rejected' = 2, 'unable_to_verify' = 3)",Dimension,EMPTY
av_completed_task_reasons_mv,Reason,Nullable(String),Dimension,EMPTY
av_completed_task_reasons_mv,ReasonCategory,"Nullable(Enum8('business' = 1, 'technical' = 2))",Dimension,EMPTY
av_completed_task_reasons_mv,CallCompletedAtUTC,DateTime,Dimension,EMPTY
av_completed_task_reasons_mv,CallCompletedAtInIST,Date,Dimension,EMPTY
av_completed_task_reasons_mv,TotalCount,"AggregateFunction(count, String)",Dimension,EMPTY
av_completed_tasks,CallDuration,Int32,Metric,EMPTY
av_completed_tasks,MSCStartAfterAllJoin,Int8,Metric,EMPTY
av_completed_tasks,CustomerOutgoingBitrateAvg,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerIncomingBitrateAvg,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorOutgoingBitrateAvg,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorIncomingBitrateAvg,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerOutgoingBitrateP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerIncomingBitrateP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorOutgoingBitrateP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorIncomingBitrateP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerInputAudioLevelP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerOutputAudioLevelP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorInputAudioLevelP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,OperatorOutputAudioLevelP90,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerMSReconnectCount,Int8,Metric,EMPTY
av_completed_tasks,OperatorMSReconnectCount,Int8,Metric,EMPTY
av_completed_tasks,OperatorMSAutoReconnectCount,Int8,Metric,EMPTY
av_completed_tasks,OperatorMSManualReconnectCount,Int8,Metric,EMPTY
av_completed_tasks,WaitTimeInQueue,Nullable(Int64),Metric,EMPTY
av_completed_tasks,SuccessBandwidthCheckCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,SuccessBandwidthCheckAvgTAT,Nullable(Float64),Metric,EMPTY
av_completed_tasks,FailedBandwidthCheckCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,FailedBandwidthCheckAvgTAT,Nullable(Float64),Metric,EMPTY
av_completed_tasks,CustomerPublishCheckAudioBandwidthP50,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerPublishCheckAudioLevelP50,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerPublishCheckVideoBandwidthP50,Nullable(Float32),Metric,EMPTY
av_completed_tasks,CustomerPublishSuccessCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,CustomerPublishFailureCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,CustomerHealthCheckSuccessCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,CustomerHealthCheckFailureCount,Nullable(Int32),Metric,EMPTY
av_completed_tasks,OUID,String,Dimension,EMPTY
av_completed_tasks,TaskID,String,Dimension,EMPTY
av_completed_tasks,AVSessionID,String,Dimension,EMPTY
av_completed_tasks,CallCompletedAt,DateTime,Dimension,EMPTY
av_completed_tasks,AccountID,String,Dimension,EMPTY
av_completed_tasks,Action,"Enum8('verified' = 1, 'rejected' = 2, 'unable_to_verify' = 3)",Dimension,EMPTY
av_completed_tasks,Reason,Nullable(String),Dimension,EMPTY
av_completed_tasks,ReasonCategory,"Nullable(Enum8('business' = 1, 'technical' = 2))",Dimension,EMPTY
av_completed_tasks,ActionLabel,Nullable(String),Dimension,EMPTY
av_completed_tasks,MSCRoomID,String,Dimension,EMPTY
av_completed_tasks,CustomerParticipantID,String,Dimension,EMPTY
av_completed_tasks,OperatorParticipantID,String,Dimension,EMPTY
av_completed_tasks,OperatorEmail,String,Dimension,EMPTY
av_completed_tasks,CallStartedAt,DateTime,Dimension,EMPTY
av_completed_tasks,MSCInstanceGroup,String,Dimension,EMPTY
av_completed_tasks,MSCTerminateParticipantsOn,String,Dimension,EMPTY
av_completed_tasks,InsertedAt,Nullable(DateTime),Dimension,EMPTY
av_completed_tasks,Universe,Nullable(String),Dimension,EMPTY
av_completed_tasks,CaptureSessionID,Nullable(String),Dimension,EMPTY
av_completed_tasks,PackageID,Nullable(UUID),Dimension,EMPTY
av_completed_tasks,ProfileID,Nullable(UUID),Dimension,EMPTY
av_completed_tasks,SkillConfig,Nullable(String),Dimension,EMPTY
av_completed_tasks,CaptureID,Nullable(UUID),Dimension,EMPTY
av_completed_tasks,AllocationSkills,Nullable(String),Dimension,EMPTY
av_completed_tasks,ProfileTag,Nullable(String),Dimension,EMPTY
av_completed_tasks,Remarks,Nullable(String),Dimension,EMPTY
av_completed_tasks,ClientVersion,Nullable(String),Dimension,EMPTY
av_completed_tasks,ClientEngineVersion,Nullable(String),Dimension,EMPTY
av_completed_tasks,ClientName,Nullable(String),Dimension,EMPTY
av_completed_tasks,ClientType,Nullable(String),Dimension,EMPTY
av_completed_tasks,DeviceModel,Nullable(String),Dimension,EMPTY
av_completed_tasks,DeviceType,Nullable(String),Dimension,EMPTY
av_completed_tasks,DeviceBrand,Nullable(String),Dimension,EMPTY
av_completed_tasks,OSName,Nullable(String),Dimension,EMPTY
av_completed_tasks,OSFamily,Nullable(String),Dimension,EMPTY
av_completed_tasks,BrowserFamily,Nullable(String),Dimension,EMPTY
av_completed_tasks,OSPlatform,Nullable(String),Dimension,EMPTY
av_completed_tasks,OSVersion,Nullable(String),Dimension,EMPTY
av_completed_tasks,QueueName,String,Dimension,EMPTY
av_completed_tasks,Label,Nullable(String),Dimension,EMPTY
av_completed_tasks,ExtReferenceID,Nullable(String),Dimension,EMPTY
av_completed_tasks_mv,CallCompletedAtHourInIST,UInt8,Metric,EMPTY
av_completed_tasks_mv,CallStartedAtHourInIST,UInt8,Metric,EMPTY
av_completed_tasks_mv,AvgHandlingTime,"AggregateFunction(avg, Int32)",Metric,EMPTY
av_completed_tasks_mv,AvgWaitTime,"AggregateFunction(avg, Nullable(Int64))",Metric,EMPTY
av_completed_tasks_mv,OUID,String,Dimension,EMPTY
av_completed_tasks_mv,Action,"Enum8('verified' = 1, 'rejected' = 2, 'unable_to_verify' = 3)",Dimension,EMPTY
av_completed_tasks_mv,ReasonCategory,"Nullable(Enum8('business' = 1, 'technical' = 2))",Dimension,EMPTY
av_completed_tasks_mv,PackageID,Nullable(UUID),Dimension,EMPTY
av_completed_tasks_mv,Label,Nullable(String),Dimension,EMPTY
av_completed_tasks_mv,QueueName,Nullable(String),Dimension,EMPTY
av_completed_tasks_mv,CallCompletedAtUTC,DateTime,Dimension,EMPTY
av_completed_tasks_mv,CallCompletedAtInIST,Date,Dimension,EMPTY
av_completed_tasks_mv,CallStartedAtInIST,Date,Dimension,EMPTY
av_completed_tasks_mv,UniqueProfileCount,"AggregateFunction(count, UUID)",Dimension,EMPTY
av_completed_tasks_mv,TotalCount,"AggregateFunction(count, String)",Dimension,EMPTY
av_completed_tasks_v2,CallDuration,Int32,Metric,EMPTY
av_completed_tasks_v2,MSCStartAfterAllJoin,Int8,Metric,EMPTY
av_completed_tasks_v2,CustomerOutgoingBitrateAvg,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerIncomingBitrateAvg,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorOutgoingBitrateAvg,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorIncomingBitrateAvg,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerOutgoingBitrateP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerIncomingBitrateP90,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorOutgoingBitrateP90,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorIncomingBitrateP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerInputAudioLevelP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerOutputAudioLevelP90,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorInputAudioLevelP90,Float32,Metric,EMPTY
av_completed_tasks_v2,OperatorOutputAudioLevelP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerMSReconnectCount,Int8,Metric,EMPTY
av_completed_tasks_v2,OperatorMSReconnectCount,Int8,Metric,EMPTY
av_completed_tasks_v2,OperatorMSAutoReconnectCount,Int8,Metric,EMPTY
av_completed_tasks_v2,OperatorMSManualReconnectCount,Int8,Metric,EMPTY
av_completed_tasks_v2,WaitTimeInQueue,Nullable(Int64),Metric,EMPTY
av_completed_tasks_v2,SuccessBandwidthCheckCount,Int32,Metric,EMPTY
av_completed_tasks_v2,SuccessBandwidthCheckAvgTAT,Float64,Metric,EMPTY
av_completed_tasks_v2,FailedBandwidthCheckCount,Int32,Metric,EMPTY
av_completed_tasks_v2,FailedBandwidthCheckAvgTAT,Float64,Metric,EMPTY
av_completed_tasks_v2,Attempt1BandwidthCheckTAT,Float64,Metric,EMPTY
av_completed_tasks_v2,Attempt2BandwidthCheckTAT,Float64,Metric,EMPTY
av_completed_tasks_v2,Attempt3BandwidthCheckTAT,Float64,Metric,EMPTY
av_completed_tasks_v2,HealthCheckAttemptCount,Int32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckAudioLevel,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckAudioLevel,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckRTTP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckAudioBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckAudioBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckVideoBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishCheckVideoBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckRTTP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckAudioBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckAudioBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckVideoBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayCheckVideoBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPublishRTTP90,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,CustomerPlayRTTP90,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckRTTP90,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckAudioBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckAudioBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckVideoBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPublishCheckVideoBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPlayCheckRTTP50,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPlayCheckAudioBandwidthP50,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPlayCheckAudioBandwidthP90,Float32,Metric,EMPTY
av_completed_tasks_v2,MSCPublisherPlayCheckVideoBandwidthP50,Float32,Metric,EMPTY
